1	-168.75	0.00	1
2	-157.50	0.00	1
3	-146.25	0.00	1
4	-135.00	0.00	1
5	-123.75	0.00	1
6	-112.50	0.00	1
7	-101.25	0.00	1
8	-90.00	0.00	1
9	-78.75	0.00	1
10	-67.50	0.00	1
11	-56.25	0.00	1
12	-45.00	0.00	1
13	-33.75	0.00	1
14	-22.50	0.00	1
15	-11.25	0.00	1
16	0.00	0.00	1
17	11.25	0.00	1
18	22.50	0.00	1
19	33.75	0.00	1
20	45.00	0.00	1
21	56.25	0.00	1
22	67.50	0.00	1
23	78.75	0.00	1
24	90.00	0.00	1
25	101.25	0.00	1
26	112.50	0.00	1
27	123.75	0.00	1
28	135.00	0.00	1
29	146.25	0.00	1
30	157.50	0.00	1
31	168.75	0.00	1
32	180.00	0.00	1
